GSRN,Tilsluttet,Kapacitet,Rotordiame,Navhøjde,Fabrikat,Model,Kommune,Postnummer,Ejerlav,X,Y,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023,Y2023-1,Y2023-2,Y2023-3,Y2023-4,Y2023-5,Y2023-6,Y2023-7,Y2023-8,Y2023-9,Y2023-10,Y2023-11,Y2023-12,Latitude,Longitude,UTM_X,UTM_Y
570715000000010613,2000-11-05,750.0,48.0,45.0,NEG Micon,270029,Vesthimmerlands,9670.0,Løgsted by,514775.97,6311123.87999999,,,,,,,,,,,,,,,,,,,,,,,,270029.0,1874638.25,1967591.1171875,1810862.6875,2048194.96875,1952563.203125,1808583.3203125,2140045.2109375,1884393.3203125,1872354.453125,1759561.487125,1997990.623,2020081.057,1821234.896,1906563.134,2208959.461,1506329.95,2051579.656,1743682.85,1770257.09,2013177.982,1639215.2,1881887.28,1722685.047,177982.225,156192.233,126194.438,140158.914,144934.099,82665.64,155804.031,104514.509,119542.918,200613.024,120713.936,193369.08,56.9435089809646,9.242866766779898,514775.969999999,6311123.87999999
570715000000010620,2000-11-16,750.0,48.0,45.0,NEG Micon,136534,Vesthimmerlands,9670.0,V. Faldgårde,518208.87,6304223.65,,,,,,,,,,,,,,,,,,,,,,,,136534.0,1769018.0,1838892.484375,1667005.79296875,1911109.03125,1822986.2890625,1684500.1953125,2135063.3125,1559604.25,1806331.0859375,1785996.9699375,2053634.305,2000170.59,1495638.662,1843217.262,2244726.277,1724183.841,2037640.682,1712809.627,1833531.236,1989558.19,1636965.382,1872423.388,1846612.501,176521.942,177679.399,138606.621,148725.893,154063.006,82615.078,162384.342,131135.877,110001.796,237733.294,137348.259,189796.994,56.881398523710125,9.298795648163809,518208.869999999,6304223.65
570715000000010637,2000-11-16,750.0,48.0,45.0,NEG Micon,115062,Vesthimmerlands,9670.0,V. Faldgårde,518245.69,6304084.95999999,,,,,,,,,,,,,,,,,,,,,,,,115062.0,1708416.0,1778831.6953125,1589518.4375,1815635.671875,1734359.28125,1583567.9453125,2010739.0859375,1784202.85546875,1692203.6171875,1643281.295,1928111.716,1846904.155,1720722.738,1715177.263,2023605.103,1557000.821,1938497.602,1646347.875,1064291.005,1875205.635,1504496.192,1728083.878,1719883.782,159057.749,163444.138,131223.828,140931.419,145204.923,76191.607,147485.417,111133.669,98930.617,222139.471,128279.246,195861.698,56.88015115058044,9.299389871117315,518245.69,6304084.95999999
570715000000010644,2000-11-16,750.0,48.0,45.0,NEG Micon,121967,Vesthimmerlands,9670.0,V. Faldgårde,518282.43,6303946.11,,,,,,,,,,,,,,,,,,,,,,,,121967.0,1644343.0,1680386.484375,1517205.33203125,1732559.8203125,1647926.140625,1509302.6171875,1874698.015625,1624162.390625,1590221.234375,1564171.626375,1824695.822,1791316.706,1632230.5,1699789.0,1847859.7,1540638.0,1806028.3,1501886.5,1573593.0,1804638.5,1446485.75,1618714.5,1641693.5,152442.25,153878.75,124573.25,134791.5,137293.25,71740.75,137144.5,114741.25,96096.75,211842.5,121519.75,185629.0,56.878902340200234,9.299982730471953,518282.429999999,6303946.11
570715000000057267,2002-11-30,660.0,47.0,45.0,Vestas Wind Systems A/S,,Vesthimmerlands,9670.0,Ø.ørbæk.by,517973.83,6312574.01,,,,,,,,,,,,,,,,,,,,,,,,,,80523.78125,1370925.5,1570859.4453125,1485944.984375,1327048.31640625,1708958.3828125,1496039.32421875,1421390.9453125,1378748.0973750001,1620314.031,1560121.214,1398921.61,1464205.445,1679630.359,1351041.195,1601698.246,1181840.693,1320562.874,1507141.247,1196666.95,1426389.549,1385344.045,119188.206,131859.777,104622.24,111737.557,93626.194,63765.85,130718.075,105730.642,75647.002,173382.748,105989.369,169076.385,56.95642303243153,9.295531050522941,517973.83,6312574.00999999
570715000000057274,2002-11-04,660.0,47.0,45.0,Vestas Wind Systems A/S,,Vesthimmerlands,9670.0,Ø.ørbæk.by,517994.19,6312403.86,,,,,,,,,,,,,,,,,,,,,,,,,,181821.0390625,1412010.51171875,1632809.25,1474805.25,1412951.09765625,1723437.40625,1534732.74609375,1469777.171875,1406031.0253125,1611290.929,1619923.641,1465325.831,1535468.527,1805762.631,1372748.913,1600461.229,1260507.967,1306345.987,1535507.236,1137847.354,1360138.357,1437263.358,129318.429,134801.634,107361.934,109235.758,124466.4,65966.751,125568.431,103325.454,87996.56,188744.789,101202.023,159275.195,56.95489371007255,9.295853701323733,517994.19,6312403.86
570715000000057281,2002-12-13,660.0,47.0,45.0,Vestas Wind Systems A/S,,Vesthimmerlands,9670.0,Vilsted by,518159.45,6306121.72,,,,,,,,,,,,,,,,,,,,,,,,,,56766.640625,1303016.171875,1496528.984375,1456569.8125,1310198.5234375,1722682.49609375,1514624.1015625,1408867.85546875,1321423.8630937499,1590445.731,1555957.137,1408859.583,1060150.671,1788563.375,1308522.106,1596218.87,1342760.477,1388400.468,1572381.88,1204004.843,1429874.214,1405807.284,139339.31,131871.634,109367.221,109933.029,110612.493,54345.062,137429.53,90964.45,75446.136,183475.766,97128.014,165894.639,56.89845182158582,9.298120454027638,518159.45,6306121.71999999
570715000000057298,2002-12-16,660.0,47.0,45.0,Vestas Wind Systems A/S,,Vesthimmerlands,9670.0,Vilsted by,518158.0,6305939.12999999,,,,,,,,,,,,,,,,,,,,,,,,,,55746.91015625,1317690.64453125,1517814.2734375,1437561.53125,1318120.96875,1734608.3046875,1536140.50390625,1429516.26171875,1312736.3751562499,1636200.312,1310825.574,1415285.582,1444033.234,1802984.643,1318823.646,1602072.947,1349256.96,1362124.511,1543198.183,1298145.177,1494333.692,1472556.391,132983.288,141483.892,112768.925,114100.448,117349.927,59607.781,143231.264,103115.2,86275.762,190274.158,100417.404,170948.342,56.89681157837574,9.298083586329552,518158.0,6305939.12999999
570715000000081255,2007-03-26,750.0,44.0,40.4,Micon,,Vesthimmerlands,9670.0,"Skarp Salling By, Skarp Salling",520754.08,6311662.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881212.0,1226086.0,1075139.0,1051727.0,1248698.0,1170501.159,921375.096,1131909.71,1373712.75,1014693.637,1214844.184,1112792.968,1042506.276,1229379.0,897322.75,1034327.5,1049108.0,98899.5,81094.75,76669.25,84948.25,93727.25,38592.5,96589.25,61367.5,69601.75,142582.25,86842.75,118193.0,56.948119849363685,9.341169098906072,520754.08,6311662.67999999
570715000000081279,2007-04-03,750.0,44.0,40.4,Micon,,Vesthimmerlands,9670.0,Skarp Salling By,520615.94,6311478.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977840.0,1243767.0,1239892.0,1164481.0,1435244.0,972094.897,747037.269,1010901.449,1424860.069,1103277.38,1312650.601,702394.114,995090.069,1343411.5,1115551.25,1228779.0,1201690.0,113886.75,113037.75,87971.0,94787.75,96985.75,54360.0,110287.0,74905.0,79932.5,155745.0,90646.25,129145.25,56.94647541114038,9.338883335188646,520615.94,6311478.94
